Jahr,Temperatur 
1850,-0.06
1851,0.12
1852,0.13
1853,0.09
1854,0.06
1855,0.06
1856,0.04
1857,-0.11
1858,-0.03
1859,0.08
1860,-0.03
1861,-0.07
1862,-0.18
1863,0.01
1864,-0.11
1865,0.02
1866,0.02
1867,0
1868,0
1869,0.04
1870,0.03
1871,-0.01
1872,0.03
1873,0.02
1874,-0.02
1875,-0.02
1876,-0.07
1877,0.26
1878,0.35
1879,0.05
1880,0.04
1881,0.12
1882,0.06
1883,0.01
1884,-0.14
1885,-0.11
1886,-0.06
1887,-0.14
1888,-0.02
1889,0.11
1890,-0.15
1891,-0.04
1892,-0.15
1893,-0.14
1894,-0.13
1895,-0.09
1896,0.07
1897,0.1
1898,-0.13
1899,0
1900,0.12
1901,0.06
1902,-0.08
1903,-0.18
1904,-0.24
1905,-0.05
1906,0.04
1907,-0.15
1908,-0.16
1909,-0.18
1910,-0.17
1911,-0.18
1912,-0.12
1913,-0.11
1914,0.09
1915,0.16
1916,-0.06
1917,-0.19
1918,-0.07
1919,0.03
1920,0.06
1921,0.12
1922,0.02
1923,0.04
1924,0.04
1925,0.07
1926,0.23
1927,0.13
1928,0.15
1929,-0.04
1930,0.18
1931,0.25
1932,0.21
1933,0.03
1934,0.18
1935,0.15
1936,0.19
1937,0.34
1938,0.34
1939,0.32
1940,0.43
1941,0.39
1942,0.36
1943,0.36
1944,0.5
1945,0.4
1946,0.24
1947,0.27
1948,0.23
1949,0.21
1950,0.13
1951,0.3
1952,0.37
1953,0.43
1954,0.24
1955,0.16
1956,0.09
1957,0.32
1958,0.34
1959,0.31
1960,0.24
1961,0.34
1962,0.29
1963,0.32
1964,0.05
1965,0.15
1966,0.21
1967,0.24
1968,0.19
1969,0.33
1970,0.27
1971,0.15
1972,0.26
1973,0.41
1974,0.18
1975,0.25
1976,0.14
1977,0.46
1978,0.36
1979,0.45
1980,0.55
1981,0.61
1982,0.39
1983,0.58
1984,0.4
1985,0.41
1986,0.45
1987,0.6
1988,0.64
1989,0.54
1990,0.72
1991,0.7
1992,0.48
1993,0.52
1994,0.59
1995,0.73
1996,0.63
1997,0.78
1998,0.93
1999,0.68
2000,0.69
2001,0.85
2002,0.9
2003,0.9
2004,0.82
2005,0.96
2006,0.93
2007,0.95
2008,0.82
2009,0.95
2010,1.04
2011,0.89
2012,0.93
2013,0.98
2014,1.03
2015,1.18
2016,1.29
2017,1.2
2018,1.12
2019,1.25
2020,1.28